CASE_NUMBER,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_START_DATE,EMPLOYMENT_END_DATE,EMPLOYER_NAME,EMPLOYER_BUSINESS_DBA,EMPLOYER_ADDRESS,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMP,CHANGE_EMPLOYER,AMENDED_PETITION,FULL_TIME_POSITION,PREVAILING_WAGE,PW_WAGE_LEVEL,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,H1B_DEPENDENT,WILLFUL_VIOLATOR,SUPPORT_H1B,LABOR_CON_AGREE,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,ORIGINAL_CERT_DATE,CASE_STATUS
I-200-18066-712317,03/07/2018,03/13/2018,H-1B,04/02/2018,04/02/2021,"CARMAX AUTO SUPERSTORES SERVICES, INC.",,12800 TUCKAHOE CREEK PARKWAY,RICHMOND,VA,UNITED STATES OF AMERICA,,8047470422,,Y,"SMALLEY, STEPHEN",RALEIGH,NC,SR. SOFTWARE DEVELOPER (SALESFORCE),15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",44112,1,0,0,0,0,1,0,Y,99507,Level III,OES,2017,OFLC ONLINE DATA CENTER (ACWIA),99507,142700,N,N,NA,,RICHMOND,RICHMOND,VA,,CERTIFIED
I-200-18064-908064,03/06/2018,03/08/2018,H-1B,09/05/2018,09/04/2021,"ZWILLING J.A. HENCKELS, LLC",,270 MARBLE AVENUE,PLEASANTVILLE,NY,UNITED STATES OF AMERICA,,9147470300,,Y,"FULLER, SCOTT",NEW YORK,NY,H-1B,13-2011,ACCOUNTANTS AND AUDITORS,332211,2,2,0,0,0,0,0,N,27.14,Level I,OES,2018,OFLC ONLINE DATA CENTER,27.14,0,N,N,NA,Y,PLEASANTVILLE,WESTCHESTER,NY,,WITHDRAWN
I-200-18061-813467,03/02/2018,03/08/2018,H-1B,08/31/2018,08/30/2021,LAW OFFICES OF JACOB J SAPOCHNICK,,1502 SIXTH AVENUE,SAN DIEGO,CA,UNITED STATES OF AMERICA,,6198199204,,Y,"SAPOCHNICK, JACOB",SAN DIEGO,CA,MARKETING MANAGER,11-2021,MARKETING MANAGERS,541110,1,1,0,0,0,0,0,N,40.29,Level I,OES,2018,OFLC ONLINE DATA CENTER,40.29,0,N,N,NA,,SAN DIEGO,SAN DIEGO,CA,,CERTIFIED
I-200-18059-02383,03/06/2018,03/12/2018,H-1B,03/09/2018,03/09/2021,SCHLUMBERGER TECHNOLOGY CORPORATION,,3600 BRIARPARK DR,HOUSTON,TX,UNITED STATES OF AMERICA,N/A,7136896652,,Y,"BURKE, KRISTEN",HOUSTON,TX,MECHANICAL ENGINEER,17-2141,MECHANICAL ENGINEERS,213112,1,1,0,0,0,0,0,Y,76100,N/A,Other,2017,US MBD MERCER BENCHMARK DATABASE SOUTH CENTRAL REGION SURVEY,76100,86018,N,N,NA,,SUGAR LAND,FORT BEND,TX,,CERTIFIED
I-200-18061-648480,03/06/2018,03/12/2018,H-1B,08/22/2018,08/22/2021,BANK OF AMERICA N.A.,N/A,401 N TRYON STREET,CHARLOTTE,NC,UNITED STATES OF AMERICA,,9806836779,,Y,"ATASSI, ISHA",NEW YORK,NY,VICE PRESIDENT; INVESTMENT SOLUTIONS OFFICER,13-2051,FINANCIAL ANALYSTS,522110,1,1,0,0,0,0,0,Y,86948,N/A,Other,2017,MERCER BENCHMARK DATABASE SURVEY,94000,0,N,N,NA,,CHICAGO,COOK,IL,,CERTIFIED
I-200-18066-762682,03/07/2018,03/13/2018,H-1B,08/25/2018,08/25/2021,"EXLSERVICE.COM, LLC",,280 PARK AVENUE,NEW YORK,NY,UNITED STATES OF AMERICA,,2122777100,,Y,"SOVERN, GRANT",MADISON,WI,SENIOR ANALYTICS CONSULTANT,15-2041,STATISTICIANS,541990,5,5,0,0,0,0,0,Y,97427,Level III,OES,2017,OFLC ONLINE DATA CENTER,97427,122427,N,N,NA,,JERSEY CITY,HUDSON,NJ,,CERTIFIED
I-200-18045-538436,02/28/2018,03/06/2018,H-1B,08/28/2018,08/27/2021,"SKADDEN, ARPS, SLATE, MEAGHER &AMP; FLOM LLP",,FOUR TIMES SQUARE,NEW YORK,NY,UNITED STATES OF AMERICA,,2127353000,,Y,"HONOROWSKI, CAROLINE",NEW YORK,NY,LAW CLERK,23-1011,LAWYERS,541110,1,1,0,0,0,0,0,Y,81931,Level I,OES,2017,OFLC ONLINE DATA CENTER,180000,0,N,N,NA,,NEW YORK,NEW YORK,NY,,CERTIFIED
I-200-18041-395936,03/06/2018,03/12/2018,H-1B,09/05/2018,09/04/2021,LAW OFFICE OF JING DONG PC,,2700 N. BERKELEY LAKE RD.,DULUTH,GA,UNITED STATES OF AMERICA,,6784741021,,N,",",,,ASSOCIATE ATTORNEY,23-1011,LAWYERS,541110,1,1,0,0,0,0,0,N,50.17,Level II,OES,2017,OFLC ONLINE DATA CENTER,50.17,0,N,N,NA,Y,DULUTH,GWINNETT,GA,,CERTIFIED
I-200-18064-101086,03/07/2018,03/13/2018,H-1B,06/19/2018,06/18/2021,STANFORD HEALTH CARE,,300 PASTEUR DRIVE,STANFORD,CA,UNITED STATES OF AMERICA,,6507235948,,Y,"ARONSON, ROBERT",MINNEAPOLIS,MN,MEDICINE-ANESTHESIA RESIDENT,29-9099,"HEALTHCARE PRACTITIONERS AND TECHNICAL WORKERS,",611310,1,1,0,0,0,0,0,Y,55739,N/A,Other,2016,AAMC SURVEY OF RESIDENT/FELLOW STIPENDS & BENEFITS REPORT,64459,0,N,N,NA,,REDWOOD,SAN MATEO,CA,,CERTIFIED
I-200-18065-417758,03/08/2018,03/14/2018,H-1B,09/05/2018,09/04/2021,BLOOM ENERGY CORPORATION,,1299 ORLEANS DRIVE,SUNNYVALE,CA,UNITED STATES OF AMERICA,,4085431500,,Y,"RAMSAY, LA VERNE",SAN FRANCISCO,CA,COMMODITY LEADER,13-1081,LOGISTICIANS,335999,1,1,0,0,0,0,0,Y,102740,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,118300,0,N,N,NA,,SUNNYVALE,SANTA CLARA,CA,,CERTIFIED
